,G,Y,m
Mdo-Mir-1544-P1d4,0,0,0
Oan-Let-7-P1c,0,1,0
Dan-Novel-3,0,1,0
Mml-Mir-430-P35f-v1,0,1,1
Ami-Mir-147-v2,0,0,1
Cpi-Mir-17-P1d,0,1,1
Mml-Mir-430-P43,0,0,0
Cmi-Novel-6,0,0,0
Mdo-Mir-147,0,0,0
Ami-Mir-7-P2,0,1,0
Dre-Mir-199-P1a-v3,0,1,0
Bta-Mir-214-v1,0,0,0
Hsa-Mir-27-P3,1,1,0
Lan-Mir-193-P1q,0,0,1
Bla-Mir-4872-P9b,0,0,0
Dno-Mir-95-P1,0,1,0
Cli-Mir-375,0,1,0
Ete-Mir-331,1,0,1
Ete-Mir-224,0,0,0
Cpi-Mir-8-P2a,0,1,0
Mmu-Mir-653,1,1,0
Loc-Mir-10-P1d-v1,1,1,0
Gja-Mir-130-P3a,1,1,0
Cel-Mir-85,0,1,1
Xtr-Mir-10-P3d,0,0,0
Cel-Mir-252-P2,0,0,0
Ocu-Mir-17-P1c,0,0,0
Tni-Mir-9-P4a,0,0,0
Ete-Mir-154-P4a,0,0,0
Mml-Mir-430-P29c,1,0,0
Bta-Mir-130-P2a,1,1,0
Mdo-Mir-15-P1c-v1,0,1,0
Mun-Mir-10-P2d,0,1,0
Cbr-Mir-67,0,1,1
Cpi-Mir-7-P2,0,1,0
Bta-Mir-139,0,1,0
Cgi-Mir-375-P3,0,1,0
Dpu-Mir-133,0,1,0
Bla-Mir-242-v2,1,1,0
Dan-Mir-999,0,1,0
Dmo-Mir-87-P2-v1,1,1,0
Ebu-Let-7-P2o7,0,1,0
Loc-Mir-458,0,0,0
Dan-Novel-19,1,0,1
Loc-Mir-130-P3a,1,1,0
Csc-Mir-278,1,1,0
Mun-Mir-1-P4,0,1,0
Hme-Mir-137,1,1,0
Mal-Mir-196-P3a,0,0,0
Dre-Mir-10-P1c1-v1,0,0,0
Mmu-Mir-154-P29-v1,1,1,0
Dan-Mir-9-P11,0,1,0
Ocu-Mir-361-v2,1,1,1
Sha-Mir-26-P4,1,1,0
Cel-Mir-193-P1-v1,0,0,0
Tgu-Mir-144-v2,0,1,0
Cpi-Mir-32,1,1,0
Tgu-Mir-205-P4,0,0,0
Bta-Mir-10-P2c,0,1,0
Cin-Mir-96-P1,0,0,0
Ami-Mir-34-P3a,0,1,0
Sto-Mir-199-P1-v2,1,1,0
Cpi-Mir-551-P1,1,0,0
Ete-Mir-21,1,1,0
Bfl-Mir-2068,0,0,0
Gja-Mir-96-P1,1,1,0
Pbv-Mir-142-P2-v2,0,0,0
Hsa-Mir-430-P1,1,1,0
Lgi-Mir-92-o30,0,0,1
Gmo-Mir-101-P2-v1,1,1,0
Hsa-Mir-10-P1c-v2,0,1,0
Lpo-Mir-153-P15,0,1,0
Mmu-Mir-101-P2-v2,1,0,0
Ocu-Mir-138-P2,1,0,0
Cfa-Mir-92-P2d,1,1,0
Mal-Mir-155,0,0,0
Bge-Mir-278,1,1,1
Dno-Mir-425,0,1,0
Sto-Mir-142-P1-v1,1,1,0
Cmi-Mir-190-P3,0,0,0
Hvu-Novel-8,0,1,0
Xtr-Mir-34-P2b2,0,0,0
Cpo-Mir-217-v2,0,0,0
Ocu-Mir-331,1,0,1
Mml-Mir-129-P2,1,0,0
Cli-Mir-9-P3,0,0,0
Lpo-Mir-96-P3v,0,0,0
Tgu-Mir-181-P2b,0,1,0
Mdo-Mir-1546,0,1,0
Dre-Novel-5,0,0,0
Tni-Mir-722-P2-v1,0,1,0
Xtr-Mir-208-P2,0,0,0
Tca-Mir-277,1,1,0
Dno-Mir-362-P2-v1,0,0,1
Hsa-Mir-1343,0,1,1
Cfa-Mir-10-P3b,0,0,0
Pfl-Mir-2001,0,1,0
Mun-Let-7-P1d,0,1,0
Bta-Mir-133-P1-v1,0,1,0
Xtr-Mir-124-P1-v2,0,1,0
Dmo-Mir-9538,0,1,0
Pbv-Mir-137-P1-v2,0,1,0
Lch-Mir-146-P4,0,0,1
Pbv-Mir-148-P1,1,1,0
Tca-Mir-2765,1,1,0
Xla-Mir-124-P1c-v2,0,1,0
Ocu-Mir-199-P2-v2,1,1,0
Sha-Mir-7371-o13,1,0,0
Cbr-Mir-34,0,0,0
Bta-Mir-544,1,0,1
Obi-Novel-25-v2,1,0,0
Mun-Mir-1306,1,0,0
Rno-Mir-506-P21,1,0,1
Bta-Mir-101-P1-v1,1,1,0
Mmu-Mir-3109,0,1,1
Nve-Mir-2051,0,1,0
Xtr-Mir-430-o5k15,1,0,1
Lpo-Mir-1993-P5,0,1,0
Cpi-Mir-383-v1,1,1,0
Cel-Mir-2221,1,1,0
Sto-Mir-1388,0,0,1
Cpi-Mir-1-P1,0,1,0
Gmo-Mir-193-P1b2,0,0,1
Bla-Mir-34-P6,0,0,0
Dya-Mir-986,0,0,0
Dan-Mir-252-P1b,0,0,0
Hsa-Mir-96-P1,1,1,0
Hsa-Mir-154-P13-v1,1,1,0
Bta-Mir-154-P15,0,0,0
Bla-Mir-10-P3,0,0,0
Ete-Mir-29-P1b-v2,0,1,0
Mmu-Mir-153-P1,1,1,0
Cpo-Mir-203-v1,0,0,0
Mdo-Mir-7251,1,0,0
Dre-Mir-124-P1b-v2,0,1,0
Sha-Mir-7370,0,0,0
Spt-Mir-133-P1,0,1,0
Xtr-Novel-6,1,0,0
Pbv-Mir-9-P1,0,0,0
Mml-Mir-95-P1,0,1,0
Cmi-Mir-15-P2a,0,1,0
Spt-Mir-30-P1b,1,1,0
Hsa-Mir-199-P3-v2,1,1,0
Dan-Mir-190,0,1,0
Gmo-Mir-142-P2-v4,0,0,0
Gja-Mir-875,0,1,0
Rno-Mir-30-P2d,1,1,0
Sko-Mir-4830-P2,0,1,0
Rno-Mir-33-P3,1,1,0
Hsa-Mir-1-P1,0,1,0
Mdo-Mir-12404,0,1,0
Bta-Mir-95-P2,0,0,0
Oan-Mir-430-P53,1,0,1
Cgi-Mir-184-P15p,0,1,0
Pbv-Mir-219-P2,0,0,0
Dya-Mir-9-P11,0,1,0
Dme-Mir-216-P1,0,1,0
Cbr-Mir-64-o2,0,1,0
Oan-Mir-1421-P39,0,1,0
Bta-Mir-30-P2d,1,1,0
Sto-Let-7-P2a1,0,1,0
Csc-Mir-2-P3n,0,1,0
Gmo-Mir-124-P1a-v2,0,1,0
Cte-Mir-278,0,1,0
Gga-Mir-1668,1,1,0
Dan-Novel-15,0,0,0
Mml-Mir-671,0,1,0
Loc-Mir-153-P2,1,1,0
Isc-Mir-276,0,1,0
Cpi-Let-7-P1d,0,1,0
Spt-Let-7-P2a4,0,1,0
Sto-Mir-137-P1,1,1,0
Bla-Mir-96-P2g,0,0,0
Cpo-Mir-154-P8,1,1,0
Ami-Mir-2188,1,0,0
Cel-Bantam-P2,0,1,1
Cfa-Mir-181-P1b,0,0,0
Xbo-Mir-2001,0,1,0
Dre-Mir-430-o1e2,1,1,1
Mml-Mir-154-P20-v1,0,1,0
Sto-Mir-281,0,1,0
Sto-Mir-1-P4,0,1,0
Tca-Mir-22-P2-v1,0,1,0
Oan-Mir-8-P1a,0,1,0
Isc-Mir-2-P3,0,1,0
Xla-Mir-103-P1d,0,0,0
Cfa-Mir-133-P3-v2,0,1,0
Tca-Mir-11617-P6b,0,1,0
Esc-Novel-35-v3,0,1,0
Spu-Let-7,1,1,0
Hsa-Mir-430-P33,1,0,0
Ete-Novel-6,1,1,0
Cli-Mir-1-P4,0,1,0
Lpo-Mir-96-P1r-v1,0,0,0
Tca-Mir-87-P2,1,0,1
Pbv-Mir-139,0,1,0
Tni-Mir-196-P1b,0,1,0
Ete-Mir-193-P1b,0,0,1
Cmi-Mir-139,0,1,0
Mml-Mir-8-P1a,0,1,0
Gmo-Let-7-P2a4a,0,1,0
Hvu-Novel-11,0,1,0
Cgi-Mir-184-P8c,0,1,0
Mun-Mir-133-P1-v1,0,1,0
Hme-Novel-7,0,0,0
Obi-Novel-50,0,0,0
Pbv-Mir-153-P2,1,1,0
Obi-Mir-2-o23,0,1,0
Bta-Mir-362-P5,0,0,1
Xtr-Mir-430-o5k7,1,0,1
Ami-Mir-218-P4,0,0,0
Lpo-Mir-275-P6,1,1,0
Cfa-Mir-188-P3,0,0,1
Dre-Mir-221-P1a1,0,0,1
Xbo-Mir-31,0,0,0
Lan-Mir-277-P4,1,1,0
Aca-Mir-455,0,0,0
Tni-Mir-1-P2a,0,1,0
Ocu-Mir-101-P2-v1,1,1,0
Xla-Mir-142-P1b1-v2,0,0,0
Cmi-Mir-9-P4,0,0,0
Lch-Mir-10-P2b,0,1,0
Dre-Mir-130-P3b1,1,1,0
Cpo-Mir-142-P1-v2,0,0,0
Xtr-Mir-489-v2,1,1,0
Xtr-Mir-34-P3a,0,1,0
Xtr-Mir-187,0,1,1
Cpo-Mir-452-v1,0,1,0
Npo-Mir-1994-P1,0,1,0
Rno-Mir-126-P2-v3,0,1,1
Emu-Mir-2017-P1,0,0,0
Mml-Mir-137-P1-v1,1,1,0
Lch-Mir-30-P1b,1,1,0
Cin-Mir-31,0,0,0
Dno-Mir-489,0,0,0
Bge-Novel-1-P2,1,1,0
Dme-Mir-133,0,1,0
Hme-Mir-3-P17,0,1,1
Spt-Mir-19-P2c,0,1,0
Ebu-Mir-130-P1g,1,1,1
Hsa-Mir-154-P20-v1,0,1,0
Efe-Mir-2691-P4,1,1,0
Dma-Mir-279-o4,0,1,0
Mml-Mir-196-P1,0,1,0
Xbo-Mir-252-P2g,0,1,0
Cpo-Mir-181-P2b,0,1,0
Spt-Mir-181-P2c4,0,1,0
Sto-Mir-1788,0,1,0
Dno-Mir-142-P1-v1,1,1,0
Gmo-Mir-19-P1a1,0,1,0
Mml-Mir-145,1,0,0
Ocu-Mir-450-P2,0,0,0
Dre-Mir-430-o3a10,0,1,1
Cpi-Mir-142-P1-v3,1,1,0
Ete-Mir-34-P2b,0,0,0
Pmi-Mir-2008,0,0,0
Tca-Mir-67-v2,0,1,0
Bta-Mir-150,0,1,0
Asu-Mir-5364,0,0,0
Xla-Mir-10-P3d4,0,0,0
Cpo-Mir-27-P2,1,1,0
Dno-Mir-1-P2,0,1,0
Mmu-Mir-219-P3-as,1,0,0
Xla-Mir-9-P4d,0,0,0
Pfl-Mir-2009,1,1,0
Cmi-Novel-18,1,1,0
Gmo-Mir-124-P3b-v2,0,1,0
Mml-Mir-154-P3a-v1,1,1,0
Mdo-Mir-132-P2,1,1,0
Mal-Mir-124-P1b-v1,0,1,0
Lch-Let-7-P2b2,0,1,0
Lpo-Mir-10-P4j,0,0,0
Lgi-Mir-216-P1,0,1,0
Spt-Mir-135-P2,0,0,0
Obi-Novel-82,0,0,0
Gga-Mir-489-v1,0,0,0
Lgi-Mir-10-P1,0,0,0
Bta-Mir-1277,0,1,0
Gga-Mir-34-P3d,0,0,0
Gmo-Mir-210,0,1,0
Cfa-Mir-551-P2,1,0,0
Mmu-Mir-423,0,0,0
Csc-Mir-750-P8,1,1,0
Mmu-Mir-3072,0,1,0
Hsa-Mir-154-P17,1,0,0
Xtr-Mir-430-o5c2,1,0,1
Obi-Mir-1994-P1,0,1,0
Cpi-Mir-199-P1-v1,0,0,0
Efe-Mir-2689-P1,1,1,0
Cfa-Mir-33-P3,1,1,0
Xla-Mir-430-o5p2,1,0,1
Tgu-Mir-17-P1c,0,0,0
Bta-Mir-2285-P8,0,0,0
Gmo-Mir-23-P2b,0,0,0
Mdo-Mir-7360-P3d,0,0,0
Cin-Mir-92-o69,0,1,1
Sto-Mir-150,0,1,0
Sha-Mir-130-P3b,1,1,0
Tni-Mir-135-P4a,0,0,0
Cpo-Mir-362-P4,0,0,1
Ebu-Mir-219-P6,0,0,0
Spt-Mir-1805,0,1,0
Mal-Mir-430-o33,1,1,1
Hsa-Mir-430-P8a,0,0,0
Cpo-Mir-199-P1-v1,0,0,0
Mmu-Mir-506-P15d,0,0,0
Lch-Mir-137-P3,1,1,0
Tni-Mir-726,1,1,0
Tca-Mir-33,1,1,0
Pbv-Mir-101-P1-v1,1,1,0
Gja-Mir-32,1,1,0
Sha-Mir-1546,0,1,0
Gmo-Mir-22-P1b1,0,0,0
Dan-Mir-29-P1,0,1,0
Ocu-Let-7-P1d,0,1,0
Cbr-Mir-193-P2-v1,1,1,0
Rno-Mir-128-P1,0,1,0
Lpo-Mir-210-P8,0,1,0
Mal-Mir-190-P3,0,0,0
Ebu-Mir-196-P5,0,1,0
Bla-Mir-34-P5,1,0,0
Dpu-Mir-96-P2,0,0,0
Cgi-Mir-124-P29,0,1,0
Dsi-Mir-983,0,0,0
Gmo-Mir-29-P1d1,0,1,0
Gja-Mir-193-P2b,0,1,0
Bta-Mir-11989,0,1,0
Asu-Mir-34,0,0,0
Ocu-Let-7-P2c3,0,1,0
Csc-Mir-2-P1n,0,1,1
Ete-Mir-17-P1c,0,0,0
Bta-Mir-101-P2-v2,1,0,0
Pmi-Mir-8,0,1,0
Spt-Mir-26-P2,1,1,0
Dno-Mir-15-P2c,0,0,1
Dno-Mir-30-P1d,1,1,0
Dan-Mir-1006,0,1,0
Ete-Mir-154-P3a-v1,1,1,0
Mmu-Mir-145,1,0,0
Tni-Mir-181-P2c1-v2,1,1,0
Isc-Mir-133,0,1,0
Loc-Let-7-P2c1,0,1,0
Dpu-Mir-184,0,1,0
Dre-Mir-430-o3a8,0,1,1
Dya-Mir-989,0,1,0
Lpo-Mir-29-P2n,0,1,0
Cpi-Mir-208-P2,0,0,0
Mml-Mir-192-P2,1,1,0
Cpi-Mir-133-P2-v1,1,1,0
Pma-Mir-96-P1o1,1,1,0
Cli-Mir-214-v2,1,1,0
Pbv-Mir-1-P4,0,1,0
Sha-Mir-217-v2,0,0,0
Xla-Mir-199-P1c-v3,0,1,0
Ocu-Mir-103-P1,0,0,0
Hvu-Mir-2022,0,1,0
Sha-Mir-128-P1,0,1,0
Dre-Mir-129-P1b,1,0,0
Tca-Mir-11624-P1a,0,1,0
Tgu-Mir-1677-P6,0,1,0
Mml-Mir-26-P1,1,1,0
Cpi-Mir-92-P1a,1,1,0
Cbr-Mir-96-P2q,1,1,0
Obi-Mir-33,1,1,0
Gja-Mir-338-P2,0,1,0
Mun-Mir-338-P2e,0,1,0
Sha-Mir-199-P1-v2,1,1,0
Cli-Mir-10-P1d-v1,0,1,0
Cgi-Mir-87-P1,1,0,0
Cli-Mir-17-P2c,0,1,0
Dno-Mir-154-P35,1,0,0
Sto-Mir-27-P4,1,1,0
Xla-Mir-132-P2d,1,1,0
Bta-Mir-124-P1-v1,0,1,0
Mmu-Mir-147-v1,0,0,0
Cmi-Mir-17-P4a,0,0,0
Dno-Mir-154-P21,0,1,0
Ete-Mir-221-P1a,0,0,1
Ami-Mir-338-P1,0,1,0
Oan-Mir-1422-P7,0,0,0
Dno-Mir-186,0,0,0
Xla-Mir-33-P1d,1,1,0
Bge-Novel-9-P1,0,1,0
Hsa-Mir-589,0,1,0
Spt-Mir-199-P2,0,0,0
Xtr-Mir-26-P1,1,1,0
Ocu-Mir-193-P2a,0,1,0
Mml-Novel-10,1,0,0
Cli-Mir-133-P1-v1,0,1,0
Cpo-Mir-103-P2,0,0,0
Nve-Mir-2027,0,0,0
Aca-Mir-126-P2-v3,0,1,1
Lpo-Mir-190-P16,0,0,0
Dno-Mir-2114,0,1,0
Dya-Mir-2-P2a,0,1,1
Tni-Mir-15-P2a2,0,1,0
Dmo-Mir-963-v2,0,0,0
Pbv-Mir-34-P1,1,1,0
Loc-Mir-132-P2,1,1,0
Ete-Mir-499,1,0,0
Xtr-Mir-430-o5k24,1,0,1
Tni-Mir-23-P2b,0,0,0
Bla-Mir-4872-P7a,0,0,0
Mdo-Mir-124-P2-v2,0,1,0
Cin-Mir-4015-P2,0,0,0
Ete-Let-7-P2c1,0,1,0
Xla-Mir-7-P3a,0,0,0
Xtr-Mir-194-P1,0,1,0
Csc-Mir-279-P14a,0,1,0
Dre-Mir-7132-P1,0,1,0
Cpo-Mir-92-P1a,1,1,0
Dno-Mir-935-v1,0,1,0
Dmo-Mir-3-P1,0,1,0
Cpo-Mir-181-P2a,1,1,0
Gga-Mir-1662,0,1,0
Dre-Mir-9-P3a,0,0,0
Ovu-Novel-42,0,1,0
Csc-Mir-8,0,1,0
Rno-Mir-506-P23,0,0,1
Dme-Mir-2-P6c,0,1,0
Tca-Mir-10-P1-v2,0,0,0
Dpu-Mir-10-P3,0,0,0
Mdo-Mir-7284,0,1,0
Mdo-Mir-15-P2d,1,1,0
Dya-Mir-67-v3,0,0,0
Mdo-Mir-24-P2,0,1,0
Hsa-Mir-196-P3,0,1,0
Xla-Let-7-P1c4,0,1,0
Mun-Mir-10-P1c-v2,0,0,0
Spu-Mir-34,0,0,0
Cbr-Mir-358-v2,0,0,1
Mal-Let-7-P2b4b,0,1,0
Mdo-Mir-7373-P4b,0,0,0
Cfa-Mir-505-v2,0,0,0
Pbv-Mir-34-P3a,0,1,0
Pma-Mir-210,0,0,0
Oan-Mir-458,0,0,0
Ovu-Mir-29-P2,0,1,0
Cgi-Mir-1993,1,1,0
Ami-Mir-30-P1a,1,1,0
Sto-Mir-130-P3b,1,1,0
Rno-Mir-506-P25,0,0,0
Cli-Mir-1641,0,1,0
Mmu-Mir-667,1,1,0
Mmu-Mir-137-P1-v1,1,1,0
Dpu-Mir-10-P1-v2,0,0,0
Lgi-Mir-1985,0,1,0
Sha-Mir-203-v1,0,0,0
Tni-Mir-203-P2-v2,1,1,0
Loc-Mir-34-P3c,0,1,0
Gmo-Novel-10,0,1,0
Cpo-Mir-135-P2,0,0,0
Gja-Mir-17-P2a,0,0,0
Cfa-Mir-122,0,0,0
Mmu-Mir-194-P2,0,1,0
Tni-Mir-219-P3a,0,0,0
Xla-Mir-126-P2d,0,1,0
Ami-Mir-458,0,0,0
Cpo-Mir-214-v1,0,0,0
Bta-Mir-506-P6,1,0,0
Mun-Mir-194-P1,0,1,0
Dme-Mir-2-P8-v1,0,0,0
Mml-Novel-17,1,1,0
Sha-Novel-16-P28,0,1,1
Ami-Mir-499,1,0,0
Xbo-Mir-92-o88,0,1,0
Cin-Mir-4079,1,1,0
Aca-Mir-2188,1,0,0
Spt-Mir-29-P1b,0,1,0
Cfa-Mir-383-v2,1,1,0
Mmu-Mir-15-P1c-v2,0,0,0
Cmi-Mir-92-P1b,0,1,0
Ete-Mir-342,1,1,0
Mal-Mir-129-P2a,1,0,0
Npo-Mir-216-P2k,0,0,0
Bpl-Mir-87-o7,1,0,0
Dre-Mir-17-P4a2,0,0,0
Pbv-Mir-17-P2c,0,0,0
Asu-Mir-10-P4,0,1,0
Xla-Mir-129-P1d,1,0,0
Cfa-Mir-331,1,0,1
Bge-Mir-275,1,1,0
Mal-Mir-460-P2,0,1,0
Dme-Mir-957,0,1,1
Tgu-Mir-29-P1d-v1,0,1,0
Oan-Mir-7419,0,1,0
Gmo-Mir-34-P3c,0,1,0
Gja-Mir-9-P1,0,0,0
Bta-Mir-505-v1,1,1,0
Loc-Mir-23-P2,0,0,0
Lpo-Mir-22-P2b,0,0,0
Hvu-Mir-3005,1,1,0
Tgu-Mir-133-P2-v1,1,1,0
Dma-Novel-1,1,1,1
Sha-Mir-143,0,1,0
Bta-Mir-34-P2b,0,0,0
Cte-Mir-317,1,1,0
Mml-Mir-92-P2c,0,0,0
Xtr-Mir-92-P1c,1,1,0
Ebu-Mir-148,1,1,0
Ami-Let-7-P1b,0,1,0
Aca-Let-7-P2a1,0,1,0
Sha-Mir-12358-P2-v1,1,0,0
Aae-Mir-2-P2,0,1,0
Dme-Mir-3-P2,0,0,1
Mal-Mir-101-P2-v1,1,1,0
Lch-Mir-92-P1d,0,1,0
Dmo-Mir-34,0,1,0
Bge-Mir-34,0,1,0
Dre-Mir-204-P1a,1,0,0
Xtr-Mir-1662,0,1,0
Bpl-Novel-1,0,0,0
Cpi-Mir-458,0,0,0
Dno-Mir-26-P2,1,1,0
Bta-Mir-144-v1,0,1,0
Dre-Mir-142-P1-v2,0,0,0
Dmo-Mir-31-P2,0,0,0
Cgi-Mir-92-o33,1,1,1
Cel-Mir-2218-P2,0,0,0
Xtr-Mir-1306,1,0,0
Mml-Mir-506-P6b1,0,0,0
Cfa-Mir-133-P3-v1,0,1,0
Npo-Mir-252-P1,0,1,0
Tgu-Let-7-P2a1,0,1,0
Ebu-Mir-130-P1f,0,1,0
Cfa-Mir-1911,0,1,0
Bge-Mir-210-v1,0,1,0
Mun-Mir-199-P3-v1,0,0,0
Mmu-Mir-1941-v1,0,0,0
Aca-Mir-138-P2,1,0,0
Tgu-Mir-147,0,0,0
Gga-Mir-122-P1,0,0,0
Rno-Mir-17-P2c,0,1,0
Rno-Mir-23-P3,0,0,0
Mmu-Mir-217-v2,0,0,0
Dre-Mir-26-P1a,1,1,0
Bta-Mir-29-P1b-v2,0,1,0
Lpo-Mir-124-P24,0,1,0
Sme-Mir-71-P16a,0,1,0
Pma-Mir-4543,0,0,0
Pma-Mir-9-o5,0,0,0
Dre-Mir-22-P1b1,0,0,0
Lan-Mir-242,0,1,0
Loc-Let-7-P1b,0,1,0
Hsa-Mir-430-P6,1,0,0
Dsi-Mir-219,0,0,0
Mal-Mir-126-P2b-v3,0,1,1
Tca-Mir-216-P2,0,1,0
Mml-Mir-10-P3b,0,0,0
Dma-Mir-133,0,1,0
Mml-Mir-7189,0,1,0
Bge-Mir-971-v1,0,1,0
Sko-Mir-4829-P3,0,1,0
Gga-Mir-15-P2c,0,1,0
Cfa-Let-7-P1b,0,1,0
Spt-Mir-196-P4,0,1,0
Cpi-Mir-27-P3,1,1,0
Gga-Mir-34-P3a,0,1,0
Hsa-Mir-4661,0,1,0
Cte-Bantam,0,1,0
Hsa-Mir-124-P2-v2,0,1,0
Xla-Mir-145-P1,1,0,0
Pma-Mir-23-o1,0,0,0
Bfl-Mir-4860,1,1,0
Gmo-Mir-19-P2a1,1,1,0
Cmi-Mir-24-P3,0,1,0
Pbv-Mir-383-v2,1,1,0
Sha-Mir-551-P2,1,0,1
Cgi-Mir-184-P15i,0,1,0
Bpl-Mir-750,1,1,0
Bpl-Novel-7-P1,0,1,0
Pma-Mir-22-P1o3,0,0,0
Oan-Mir-7-P2,0,1,0
Lch-Mir-139,0,1,0
Ebu-Mir-30-P2e,0,0,0
Ete-Mir-92-P2a,1,0,1
Ocu-Mir-8-P1b,0,1,0
Spt-Mir-181-P1b,0,0,0
Mun-Mir-489,1,1,0
Oan-Mir-1401,1,0,0
Ebu-Mir-153-P6,1,1,0
Ebu-Mir-499,1,0,0
Dno-Mir-28-P1,0,1,0
Spt-Mir-219-P3,0,0,0
Tca-Mir-3851-P2,0,1,0
Ete-Mir-15-P2b,0,0,0
Cgi-Mir-184-P8b,0,1,0
Tni-Mir-9-P1b,0,0,0
Xla-Mir-103-P1c,0,0,0
Cgi-Mir-2-o29,0,1,0
Dsi-Mir-1175,1,1,0
Hsa-Mir-375,0,1,0
Cbr-Mir-277-P6b,0,1,0
Isc-Bantam-P9b,0,1,0
Bta-Mir-135-P2,0,0,0
Hsa-Mir-430-P15,1,0,0
Bla-Novel-6-P5,0,0,0
Sto-Mir-135-P4,0,0,0
Cfa-Mir-3613,0,0,0
Cmi-Novel-15,0,0,0
Tgu-Mir-124-P3-v1,0,1,0
Obi-Novel-22,0,1,0
Bta-Mir-154-P10,1,0,0
Hsa-Mir-550-P1,1,1,0
Bge-Novel-14,0,1,1
Esc-Mir-8,0,1,0
Mal-Let-7-P2a3a,0,1,0
Efe-Mir-184-o4,0,1,0
Dan-Novel-7,1,1,1
Oan-Mir-223,1,1,1
Loc-Mir-17-P4d,0,0,0
Ovu-Novel-2,0,1,1
Sha-Mir-15-P2c-v1,0,1,0
Pbv-Mir-145,1,0,0
Cgi-Mir-184-P15d,0,1,0
Dno-Mir-154-P29,0,1,0
Mml-Mir-15-P2c,0,0,1
Sha-Mir-190-P1,0,0,0
Sha-Novel-11-P2b-v2,1,1,0
Mun-Mir-124-P2-v1,0,1,0
Mal-Mir-135-P4a,0,0,0
Oan-Mir-192-P1,1,1,0
Mdo-Mir-7373-P5c,1,1,0
Lpo-Mir-87-P1i,1,0,0
Cli-Mir-96-P3-v2,0,0,0
Bla-Novel-2,0,1,0
Oan-Mir-142-P1-v4,0,0,0
Lpo-Mir-133-P12,0,1,0
Ete-Novel-5,0,0,0
Bfl-Mir-193-P1k,0,1,0
Npo-Mir-1175,1,1,0
Tni-Mir-10-P3d1,0,0,0
Hsa-Mir-331,1,0,1
Mmu-Mir-672,0,0,0
Mml-Mir-150,0,1,0
Dan-Mir-92-P8,1,1,0
Dre-Mir-150,1,1,0
Loc-Novel-5,0,1,0
Sha-Mir-3613,0,0,0
Rno-Mir-506-P6,0,1,0
Mmu-Mir-744,1,1,0
Dan-Novel-14,0,0,1
Dan-Mir-92-P4,0,0,0
Cgi-Mir-22-P2,0,0,0
Sha-Mir-124-P3-v1,0,1,0
Cli-Mir-8-P3a,0,1,0
Rno-Mir-330-v1,1,1,1
Dre-Mir-430-o1a,1,1,1
Mdo-Mir-7360-P4,0,0,0
Xtr-Mir-150,0,1,0
Hsa-Mir-506-P4b,0,1,0
Cli-Mir-146-P1,0,1,0
Bge-Mir-87-P2b,1,0,0
Sha-Novel-16-P18,0,1,0
Dme-Mir-969,0,0,0
Ocu-Mir-3613,0,0,0
Bta-Mir-430-P4,0,1,0
Xtr-Mir-338-P2,0,1,0
Cin-Mir-126-v1,0,1,1
Bla-Mir-4872-P26b,0,0,0
Aca-Mir-10-P1d-v1,0,1,0
Cmi-Mir-203-P5-v1,0,0,0
Spt-Mir-17-P4c,0,0,0
Tni-Mir-17-P1a1,0,0,0
Pma-Mir-29-P1o1,0,1,0
Hsa-Mir-325,1,1,0
Dme-Mir-983-P2,0,0,0
Xla-Mir-192-P2c,1,1,0
Bla-Mir-278,0,1,1
Bta-Mir-101-P2-v1,1,1,0
Ebu-Mir-29-P1e,0,1,0
Cgi-Mir-184-P8a,0,1,0
Cel-Bantam-P1,0,1,0
Dmo-Mir-92-P6,0,1,0
Lgi-Mir-1993,1,1,0
Isc-Mir-10-P4,0,0,0
Dre-Mir-124-P1a-v2,0,1,0
Tgu-Mir-1-P1,0,1,0
Mmu-Mir-1960,1,1,0
Ovu-Mir-153,0,1,0
Mdo-Mir-153-P2,1,1,0
Lch-Mir-132-P2,1,1,0
Aae-Mir-10-P2,0,1,0
Hsa-Mir-154-P12,1,0,0
Dno-Mir-34-P1,0,0,0
Lpo-Mir-96-P3r,0,0,0
Mdo-Mir-7371-P25,0,0,0
Mml-Mir-430-P11b,0,1,0
Cel-Mir-193-P2-v2,0,0,0
Cmi-Mir-281-v2,0,1,0
Dno-Mir-214-v1,0,0,0
Dan-Novel-12-P1,0,0,0
Sto-Mir-181-P2c,0,1,0
Dme-Mir-9-P10,0,0,0
Mml-Mir-430-P29d,1,0,0
Tgu-Mir-24-P3,0,1,0
Dno-Mir-96-P2,1,1,0
Mmu-Mir-101-P2-v1,1,1,0
Mun-Mir-126-P2-v3,0,1,1
Mal-Mir-489-v1,0,0,0
Cte-Mir-36,0,1,0
Ami-Mir-425,0,1,0
Cte-Mir-96-P1,0,0,0
Cin-Mir-4014-P2,0,1,0
Mal-Mir-10-P3c2,0,0,0
Sha-Novel-16-P14,0,1,0
Ami-Mir-135-P1,0,0,0
Pma-Mir-15-P1o3,1,1,0
Mdo-Mir-7371-P21,0,0,0
Ovu-Mir-210-P15-v2,0,1,0
Cel-Mir-1830,1,1,0
Dan-Mir-22-P2,0,1,0
Mml-Mir-338-P2-as,0,1,0
Tni-Mir-129-P1a,1,0,0
Dan-Novel-4,0,1,0
Aca-Mir-10-P2d,0,1,0
Hvu-Mir-3003-P2,1,1,0
Gmo-Mir-181-P2c2,0,1,1
